"cell.id";"longitude_cell";"latitude_cell";"-P50";"Slope";"-TLP";"LS";"Ks";"WD";"LMA";"N";"group";"per";"MAT";"MAP";"meanT_Q";"pre_dryQ";"AI"
12347;23.625;66.625;1.09297409919615;3.91008831689027;0.732203303337339;-1.17394092045853;-0.151353064077167;0.518344585598918;5.05092136499167;2.78863039359731;"NC";0.71509607740878;NA;NA;NA;NA;NA
12348;14.375;57.375;1.14780690641956;3.92364549105513;0.791539172479631;-1.06456192178104;-0.172996622946442;0.494821307318564;5.01941579713232;2.74602966432778;"NC";0.763705043413965;NA;NA;NA;NA;NA
12349;13.625;58.625;1.18544275549491;3.967993872632;0.814325220367783;-1.01577218239406;-0.227369450342792;0.477415623213927;4.99144323155839;2.73988486809887;"NC";0.802032035538546;NA;NA;NA;NA;NA
12350;15.875;63.125;1.18005998787077;3.64436699636338;0.753276045803596;-1.3971058025905;-0.557551952104349;0.515196368339575;5.1537587124979;2.60489343492918;"NC";0.925040148365772;NA;NA;NA;NA;NA
12351;17.125;61.375;1.14313447190584;3.62001573601731;0.75088291520047;-1.36106869788651;-0.434428664058297;0.534056681063757;5.20570316505499;2.65937704206677;"NC";0.86699842025264;NA;NA;NA;NA;NA
12352;14.125;62.625;1.19736016799899;3.7514620389388;0.812834659231736;-1.24190669384924;-0.485917491091315;0.508482290444003;5.17033537480545;2.61975333395788;"NC";0.916533050098246;NA;NA;NA;NA;NA
12353;14.625;62.375;1.20362596284021;3.63791635345631;0.80842906971343;-1.30751546004747;-0.583581170093441;0.515846534049767;5.21392011573106;2.58291702200577;"NC";0.953353600128153;NA;NA;NA;NA;NA
12354;16.875;63.375;1.19131135944297;3.98393037435024;0.820584019756281;-1.03067743092674;-0.276956610652908;0.480872563936128;5.01860537477597;2.70799949515039;"NC";0.826712233301823;NA;NA;NA;NA;NA
12355;14.875;57.875;1.0219716445857;4.10027735807888;0.696644250696404;-0.958202977135497;0.149854731551317;0.494075435974903;4.80314990016896;2.95794862802378;"NC";0.506137786516273;NA;NA;NA;NA;NA
12356;16.875;59.125;1.09715701914945;3.96267904300238;0.760029780657347;-1.04944720764588;-0.036258544675386;0.498067892209179;4.9514903724797;2.8161874242351;"NC";0.667483941188678;NA;NA;NA;NA;NA
12357;16.625;59.125;1.16620378452475;3.76422403828513;0.790758184112815;-1.20854692025759;-0.362498396325645;0.511313809734006;5.13197952594111;2.67205968987072;"NC";0.851623121009148;NA;NA;NA;NA;NA
12358;12.875;56.375;0.992467220855442;3.98533694577688;0.741331124941158;-1.05801861836021;0.0456171641864969;0.541580411569937;4.49306849397625;3.07002961405618;"BD";0.679322938811289;NA;NA;NA;NA;NA
12359;14.875;62.875;1.1948732136325;3.56301513382266;0.794914592859376;-1.37234366441753;-0.616156433121383;0.524621818937093;5.24137728889901;2.57578795978986;"NC";0.95971455117011;NA;NA;NA;NA;NA
12360;14.375;59.625;1.19310059596193;3.85541812320198;0.813083185124432;-1.11744087531456;-0.370792065582156;0.495361045618939;5.09109165678784;2.66681681932272;"NC";0.86455897141587;NA;NA;NA;NA;NA
12361;11.875;58.875;1.08635327016754;4.14981065861792;0.757070767598056;-1.11358776080563;-0.0240712195065303;0.489838410953907;4.94342636770035;2.85734220787187;"NC";0.674675344281407;NA;NA;NA;NA;NA
12362;16.875;59.375;1.20155867037727;3.60957179781503;0.808527766166326;-1.3079179468175;-0.546161403409234;0.513669380098125;5.20940533064999;2.59531693290379;"NC";0.94697941196178;NA;NA;NA;NA;NA
12363;16.625;58.625;1.05531284812897;3.63956289207225;0.818139663863927;-1.19038302177691;-0.342787672219228;0.566468210310388;5.03324692578655;2.79790226181574;"NC";0.601058452002632;NA;NA;NA;NA;NA
12364;21.625;65.875;1.04092802371897;3.90020603172315;0.706898164424954;-1.13142910059193;0.0116925680924524;0.519682813936931;4.98757059279415;2.84981811315463;"NC";0.618306091958002;NA;NA;NA;NA;NA
12365;12.625;59.625;1.18161725859476;3.6879272183513;0.794914476862642;-1.28810033587398;-0.466564682255855;0.51618266497254;5.17967760612159;2.63853353463045;"NC";0.897548280232029;NA;NA;NA;NA;NA
12366;12.875;60.625;1.2127190541201;3.71226265830888;0.790917666373486;-1.29509078030873;-0.585072813893705;0.500318148090249;5.13168191995788;2.58168591953205;"NC";0.951144123253463;NA;NA;NA;NA;NA
