"species"	"species.orig"	"genus.orig"	"family.orig"	"P50"	"slope"	"TLP"	"Ks"	"LS"	"WD"	"LMA"	"leafN"	"group"
"111"	"Casearia_guianensis"	"Casearia guianensis"	"Casearia"	"Salicaceae"	0.530628251	4.510564697	0.719775364	0.641853886	-0.967584026	0.71	3.628598523	3.152308581	"BE"
"112"	"Casearia_sylvestris"	"Casearia sylvestris"	"Casearia"	"Salicaceae"	0.530628251	4.510564697	0.719775364	0.641853886	-0.967584026	0.69	4.228584037	3.211448309	"BE"
"113"	"Cassine_xylocarpa"	"Cassine xylocarpa"	"Cassine"	"Celastraceae"	1.637053079	3.414442608	0.76138538509	-0.301440406375	-0.92113091242	0.48	4.105119635	3.163363115	"BT"
"114"	"Castanea_dentata"	"Castanea dentata"	"Castanea"	"Fagaceae"	0.444685821	3.637191345	1.0060495465	0.6790117395	-0.713349888	0.425	3.688629423	3.04927304	"BT"
"115"	"Castanea_mollissima"	"Castanea mollissima"	"Castanea"	"Fagaceae"	0.444685821	3.637191345	1.0060495465	0.6790117395	-0.713349888	0.57	3.977412121	3.08190997	"BT"
"116"	"Castanea_pumila"	"Castanea pumila"	"Castanea"	"Fagaceae"	0.444685821	3.637191345	1.0060495465	0.6790117395	-0.713349888	0.56	3.977412121	3.08190997	"BE"
"117"	"Castanea_sativa"	"Castanea sativa"	"Castanea"	"Fagaceae"	0.444685821	3.637191345	1.0060495465	0.6790117395	-0.713349888	0.56	4.266194819	3.093312602	"BT"
"118"	"Castilla_elastica"	"Castilla elastica"	"Castilla"	"Moraceae"	0.0507590715	3.773443152	0.039220713	0.512823626	-0.204567166	0.385	4.44100284	3.219275745	"BD"
"119"	"Casuarina_equisetifolia"	"Casuarina equisetifolia"	"Casuarina"	"Casuarinaceae"	0.578578449945	4.126288428775	0.47721621341	0.505392816415	-0.801373009835	0.5469	4.06691576248	3.11247649092	"BE"
"120"	"Casuarina_lepidophloia"	"Casuarina lepidophloia"	"Casuarina"	"Casuarinaceae"	0.667735245235	3.74733985729	0.66436639741	0.72230557114	-0.623158503105	0.548825	4.106741856365	3.02616976262	"CC"
"121"	"Catalpa_bignonioides"	"Catalpa bignonioides"	"Catalpa"	"Bignoniaceae"	0.11797068597	3.76051201145	0.833875024635001	0.813105541144999	-1.109520153995	0.36	4.025351691	3.072693315	"BT"
"122"	"Catalpa_indet"	"Catalpa indet"	"Catalpa"	"Bignoniaceae"	0.48506093395	4.089246618555	0.62742164517	0.677038682155	-0.832165722705	0.36	4.025351691	3.072693315	"BT"
"123"	"Catalpa_speciosa"	"Catalpa speciosa"	"Catalpa"	"Bignoniaceae"	0.11797068597	3.76051201145	0.833875024635001	0.813105541144999	-1.109520153995	0.36	4.025351691	3.072693315	"BT"
"124"	"Cecropia_schreberiana"	"Cecropia schreberiana"	"Cecropia"	"Urticaceae"	0.32960391579	3.93489685995	0.503770288565	0.531789070954999	-0.27304389854	0.26	3.759501789715	3.091042453	"BE"
"125"	"Cedrela_odorata"	"Cedrela odorata"	"Cedrela"	"Meliaceae"	0.826366024	3.742894042	0.488580015	1.0042009675	0.174154967	0.34	4.325125541	3.366260812	"BT"
"126"	"Cedrus_atlantica"	"Cedrus atlantica"	"Cedrus"	"Pinaceae"	1.589235205	3.63758616	0.761776587	-0.994252273	-1.575036486	0.475	5.523778231	2.513656063	"CC"
"127"	"Cedrus_deodara"	"Cedrus deodara"	"Cedrus"	"Pinaceae"	1.870262531	3.075928816	0.761776587	-0.287682072	-1.575036486	0.54	5.523778231	2.513656063	"CC"
"128"	"Cedrus_libani"	"Cedrus libani"	"Cedrus"	"Pinaceae"	2.042518188	3.356757488	0.761776587	-0.891598119	-1.575036486	0.5075	5.523778231	2.513656063	"CC"
"129"	"Ceiba_pentandra"	"Ceiba pentandra"	"Ceiba"	"Malvaceae"	1.0186061535	4.038956367	0.824175443	2.564179831	-0.0843394448950001	0.32	4.96445173	3.242592351	"BD"
"130"	"Celtis_australis"	"Celtis australis"	"Celtis"	"Cannabaceae"	0.500775288	3.8863148693	0.525403414905	0.488580015	-0.272964646175	0.55	3.894266284	3.602231647	"BT"
"131"	"Celtis_indet"	"Celtis indet"	"Celtis"	"Cannabaceae"	0.500775288	4.094188830315	0.62055192493	0.488580015	-0.783760888134999	0.55	3.6561603915	3.261935314	"BT"
"132"	"Celtis_laevigata"	"Celtis laevigata"	"Celtis"	"Cannabaceae"	0.500775288	3.851696794195	0.557873283715	0.488580015	-0.24629374402	0.55	3.6561603915	2.896464272	"BT"
"133"	"Celtis_occidentalis"	"Celtis occidentalis"	"Celtis"	"Cannabaceae"	0.500775288	3.94085967806	0.55213659659	0.488580015	-0.25764839918	0.55	3.418054499	3.261935314	"BT"
"134"	"Ceratonia_siliqua"	"Ceratonia siliqua"	"Ceratonia"	"Leguminosae"	0.262364264	3.714547201	0.598836501	0.09531018	-0.246393865	0.5	4.475289265	2.949688335	"BE"
"135"	"Cercis_canadensis"	"Cercis canadensis"	"Cercis"	"Fabaceae"	0.75612198	2.256541154	0.631271777	0.553885113	-0.386096398	0.65	3.690128674	2.978077338	"BT"
"136"	"Cercis_siliquastrum"	"Cercis siliquastrum"	"Cercis"	"Fabaceae"	0.598836501	3.724125934	0.631271777	0.553885113	-0.386096398	0.535	4.226249633	3.276767303	"BT"
"137"	"Chamaecyparis_lawsoniana"	"Chamaecyparis lawsoniana"	"Chamaecyparis"	"Cupressaceae"	1.91839212	2.761906874	1.123304901	-1.714798428	-1.5682425535	0.44	5.070381098	2.549445171	"CC"
"138"	"Chamaecyparis_nootkatensis"	"Chamaecyparis nootkatensis"	"Chamaecyparis"	"Cupressaceae"	1.91839212	2.761906874	1.123304901	-1.714798428	-1.5682425535	0.385	5.070381098	2.4804423345	"CC"
