"species.orig"	"genus.orig"	"family.orig"	"P50"	"slope"	"TLP"	"LS"	"Ks"	"WD"	"LMA"	"leafN"	"group"
"84"	"Betula populifolia"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	-0.73994533	0.5713066125	0.45	4.075501474	2.90690106	"BD"
"85"	"Betula pubescens"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	-0.73994533	0.5713066125	0.535	4.382026635	3.230804396	"BD"
"86"	"Betula verrucosa"	"Betula"	"Betulaceae"	0.702987216	4.450185568	0.470003629	-0.73994533	0.5713066125	0.5025	4.077452695	3.230804396	"BD"
"87"	"Bourreria succulenta"	"Bourreria"	"Boraginaceae"	1.075002423	3.011605623	0.54522705	-0.1158655	2.248656751	0.6525	4.347241072	3.311090309	"BE"
"88"	"Buchenavia tetraphylla"	"Buchenavia"	"Combretaceae"	1.223775432	2.995732274	0.662687973	-0.49221582993	0.867100488	0.625	4.39455499582	2.85474458	"BE"
"89"	"Bucida buceras"	"Bucida"	"Combretaceae"	1.223775432	2.995732274	0.662687973	-0.46371524137	0.867100488	0.8	4.52233053684	2.397895273	"BE"
"90"	"Bursera simaruba"	"Bursera"	"Burseraceae"	-0.051293294	3.994340048	0.270027137	0.616185139	1.360976553	0.33	4.708177936	2.883123329	"BD"
"91"	"Buxus sempervirens"	"Buxus"	"Buxaceae"	2.079441542	3.295971806545	1.017899737155	-0.62652062956	0.18316517522	0.78	4.984907146	3.039749159	"BE"
"92"	"Byrsonima crassifolia"	"Byrsonima"	"Malpighiaceae"	0.678925957720001	3.714684240395	0.698134722	0.184327876	0.741937345	0.59	4.996941967	2.622492313	"BE"
"93"	"Byrsonima lucida"	"Byrsonima"	"Malpighiaceae"	0.70471429258	3.220176190555	0.698134722	0.184327876	0.741937345	0.59	4.996941967	2.517696473	"BE"
"94"	"Byrsonima spicata"	"Byrsonima"	"Malpighiaceae"	0.621346151315	3.617451966685	0.698134722	0.184327876	0.741937345	0.61	4.996941967	3.013080912	"BE"
"95"	"Byrsonima wadsworthii"	"Byrsonima"	"Malpighiaceae"	0.82530323993	3.145486701725	0.698134722	0.184327876	0.741937345	0.58	4.996941967	2.76000994	"BE"
"96"	"Calocedrus decurrens"	"Calocedrus"	"Cupressaceae"	2.047692843	2.648300197	1.123304901	-1.5682425535	0.292669614	0.37	5.070381098	2.4530446305	"NC"
"97"	"Calophyllum antillanum"	"Calophyllum"	"Calophyllaceae"	0.559790836865	3.58455356234	0.796233042205001	-0.653508380315	0.6583386464	0.64	4.23213537815	2.809943713675	"BE"
"98"	"Calyptranthes pallens"	"Calyptranthes"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.5992853775	1.2419530745	0.7125	4.686381441	2.7063138565	"BE"
"99"	"Canella winterana"	"Canella"	"Canellaceae"	-1.46967597	3.888549649	0.76437252335	-0.666623765995	0.81450549274	0.5303	4.14406678249	3.082090348775	"BE"
"100"	"Capparis baducca"	"Capparis"	"Capparaceae"	0.714903551515	3.631285920285	0.6001160222	-0.32638618665	0.863807560689999	0.48	4.3513480112875	2.79239135	"BE"
"101"	"Capparis cynophallophora"	"Capparis"	"Capparaceae"	0.20786039858	3.68929792933	0.5442090325	-0.29687760037	1.10727611899	0.48	4.1388088609425	2.79239135	"BE"
"102"	"Capparis flexuosa"	"Capparis"	"Capparaceae"	0.20786039858	3.68929792933	0.5442090325	-0.29687760037	1.10727611899	0.48	4.1388088609425	2.79239135	"BE"
"103"	"Capparis hastata"	"Capparis"	"Capparaceae"	0.20786039858	3.68929792933	0.5442090325	-0.29687760037	1.10727611899	0.48	4.1388088609425	2.79239135	"BD"
"104"	"Carpinus betulus"	"Carpinus"	"Betulaceae"	1.335001067	3.54240755	0.924258902	-0.73994533	0.5713066125	0.68	3.606041176	3.113515309	"BD"
"105"	"Carpinus caroliniana"	"Carpinus"	"Betulaceae"	1.335001067	3.54240755	0.924258902	-0.73994533	0.5713066125	0.58	3.335769576	2.879198457	"BD"
"106"	"Carya alba"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	-0.751495393765	0.87104377002	0.64	3.82133214	3.003204288	"BD"
"107"	"Carya aquatica"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	-0.7505224441	0.903815885295	0.61	3.82133214	3.003204288	"BD"
"108"	"Carya carolinae-septentrionalis"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	-0.40480188041	0.95271629505	0.61	3.82133214	3.003204288	"BD"
"109"	"Carya cordiformis"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	-0.76129471642	0.82700857437	0.575	3.574450163	3.135494216	"BD"
"110"	"Carya glabra"	"Carya"	"Juglandaceae"	0.741937345	3.42751469	0.447885824	-0.68536474575	0.62354194887	0.66	3.980429038	2.791165108	"BD"
"111"	"Carya illinoinensis"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	-0.752472957595	0.913164898295	0.61	3.82133214	3.063390922	"BD"
"112"	"Carya indet"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	-0.40480188041	0.95271629505	0.61	3.82133214	3.003204288	"BE"
"113"	"Carya laciniosa"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	-0.751495393765	0.87104377002	0.62	3.82133214	3.003204288	"BD"
"114"	"Carya myristiciformis"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	-0.76574713623	0.87869199073	0.56	3.82133214	3.003204288	"BD"
"115"	"Carya ovalis"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	-0.40480188041	0.95271629505	0.61	3.82133214	3.003204288	"BD"
"116"	"Carya ovata"	"Carya"	"Juglandaceae"	-0.579818495	3.42751469	0.447885824	-0.69655287384	0.889083128755	0.585	3.781686504	2.999226163	"BD"
"117"	"Carya pallida"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	-0.741926506745	0.893605688165	0.61	3.82133214	3.003204288	"BD"
"118"	"Carya texana"	"Carya"	"Juglandaceae"	0.081059425	3.42751469	0.447885824	-0.74823124704	0.903815885295	0.61	3.916114623	3.003204288	"BD"
"119"	"Casearia aculeata"	"Casearia"	"Salicaceae"	0.530628251	4.510564697	0.719775364	-0.967584026	0.641853886	0.69	3.979775107	3.287281858	"BE"
"120"	"Casearia arborea"	"Casearia"	"Salicaceae"	0.530628251	4.510564697	0.719775364	-0.967584026	0.641853886	0.565	3.947583181	3.341801172	"BE"
"121"	"Casearia decandra"	"Casearia"	"Salicaceae"	0.530628251	4.510564697	0.719775364	-0.967584026	0.641853886	0.64	3.648187659	3.342861805	"BE"
"122"	"Casearia guianensis"	"Casearia"	"Salicaceae"	0.530628251	4.510564697	0.719775364	-0.967584026	0.641853886	0.71	3.628598523	3.152308581	"BE"
"123"	"Casearia sylvestris"	"Casearia"	"Salicaceae"	0.530628251	4.510564697	0.719775364	-0.967584026	0.641853886	0.69	4.228584037	3.211448309	"BE"
"124"	"Cassine xylocarpa"	"Cassine"	"Celastraceae"	1.637053079	3.414442608	0.811874023409999	-0.833223299465	0.011590178805	0.48	4.105119635	3.163363115	"BD"
"125"	"Cassipourea guianensis"	"Cassipourea"	"Rhizophoraceae"	1.556037136	2.98517676	0.717839793	-1.171182982	0.262364264	0.67	4.390676615	3.185939325	"BE"
"126"	"Castanea dentata"	"Castanea"	"Fagaceae"	0.444685821	3.637191345	1.0060495465	-0.713349888	0.6790117395	0.425	3.688629423	3.04927304	"BD"
"127"	"Castanea mollissima"	"Castanea"	"Fagaceae"	0.444685821	3.637191345	1.0060495465	-0.713349888	0.6790117395	0.57	3.977412121	3.08190997	"BD"
"128"	"Castanea pumila"	"Castanea"	"Fagaceae"	0.444685821	3.637191345	1.0060495465	-0.713349888	0.6790117395	0.56	3.977412121	3.08190997	"BE"
"129"	"Castanea sativa"	"Castanea"	"Fagaceae"	0.444685821	3.637191345	1.0060495465	-0.713349888	0.6790117395	0.56	4.266194819	3.093312602	"BD"
"130"	"Castilla elastica"	"Castilla"	"Moraceae"	0.0507590715	3.773443152	0.039220713	-0.204567166	0.512823626	0.385	4.44100284	3.219275745	"BD"
"131"	"Casuarina equisetifolia"	"Casuarina"	"Casuarinaceae"	0.612524376615	3.947649339215	0.498643339585	-0.76551225644	0.61343524516	0.5408	4.0968154733225	3.13676512524	"BE"
"132"	"Casuarina lepidophloia"	"Casuarina"	"Casuarinaceae"	1.351503190885	3.493604817355	0.93651772337	-0.63948403624	0.13664780756	0.591725	4.277542287685	2.80087228941	"NC"
"133"	"Catalpa bignonioides"	"Catalpa"	"Bignoniaceae"	0.10835838508	3.59490127236	0.809173521435	-1.050383131135	0.663206598070001	0.36	4.025351691	3.072693315	"BD"
"134"	"Catalpa indet"	"Catalpa"	"Bignoniaceae"	0.455491464585	3.742975243995	0.52400278803	-0.442485409205	0.74820771067	0.36	4.025351691	3.072693315	"BD"
"135"	"Catalpa speciosa"	"Catalpa"	"Bignoniaceae"	0.10835838508	3.59490127236	0.809173521435	-1.050383131135	0.663206598070001	0.36	4.025351691	3.072693315	"BD"
"136"	"Cecropia schreberiana"	"Cecropia"	"Urticaceae"	0.42448682171	3.84185752208	0.365987008605	-0.30931609869	0.540427169619999	0.26	3.672750072	3.091042453	"BE"
"137"	"Cedrela odorata"	"Cedrela"	"Meliaceae"	0.826366024	3.742894042	0.488580015	0.174154967	1.730770198	0.34	4.325125541	3.366260812	"BD"
"138"	"Cedrus atlantica"	"Cedrus"	"Pinaceae"	1.589235205	3.63758616	0.761776587	-1.559156098	-0.994252273	0.475	5.523778231	2.513656063	"NC"
"139"	"Cedrus deodara"	"Cedrus"	"Pinaceae"	1.870262531	3.075928816	0.761776587	-1.559156098	-0.287682072	0.54	5.523778231	2.513656063	"NC"
"140"	"Cedrus libani"	"Cedrus"	"Pinaceae"	2.042518188	3.356757488	0.761776587	-1.559156098	-0.891598119	0.5075	5.523778231	2.513656063	"NC"
"141"	"Ceiba pentandra"	"Ceiba"	"Malvaceae"	1.0186061535	4.038956367	0.824175443	-0.35305872706	2.564179831	0.32	4.96445173	3.242592351	"BD"
"142"	"Celtis australis"	"Celtis"	"Cannabaceae"	0.500775288	3.7476065608	0.47311033635	-0.25080153687	0.488580015	0.55	3.894266284	3.602231647	"BD"
"143"	"Celtis indet"	"Celtis"	"Cannabaceae"	0.500775288	3.85880924794	0.617048615865	-0.498050477055	0.488580015	0.55	3.6561603915	3.261935314	"BD"
"144"	"Celtis laevigata"	"Celtis"	"Cannabaceae"	0.500775288	3.82449887765	0.40289351568	-0.260945250575	0.488580015	0.55	3.6561603915	2.896464272	"BD"
"145"	"Celtis occidentalis"	"Celtis"	"Cannabaceae"	0.500775288	3.810235863495	0.48611257057	-0.229160733805	0.488580015	0.55	3.418054499	3.261935314	"BD"
"146"	"Ceratonia siliqua"	"Ceratonia"	"Fabaceae"	0.262364264	3.714547201	0.598836501	-0.2598138955	0.09531018	0.5	4.038630117	2.949688335	"BE"
"147"	"Cercis canadensis"	"Cercis"	"Fabaceae"	0.75612198	2.256541154	0.631271777	-0.386096398	0.553885113	0.65	3.690128674	2.978077338	"BD"
